Team,Player,Age,Matches,GA90,Save%,CS%,PSXG+/-,Launched CMP% (40+ yards),CMP% (15-30 yards),CMP% (30+ yards),Launch% goal kicks,Defensive actions,Errors,Errors under pressure,Miscontrol,Rating
Nice,Marcin Bułka,24.0,34.0,1.21,75.8,23.5,3.0,41.2,96.3,55.4,34.6,0.97,6,0,2,45
Lens,Mathew Ryan,32.0,14.0,1.21,75.8,42.9,2.5,34.1,98.4,49.0,42.4,0.71,2,1,0,45
West Ham United,Łukasz Fabiański,39.0,12.9,1.68,74.6,16.7,1.6,34.1,99.4,41.5,61.0,0.93,1,0,0,44
Beerschot Wilrijk,Nick Shinton,23.0,20.5,1.8,72.3,14.3,4.2,26.1,97.1,36.7,57.5,1.32,0,0,0,44
Cagliari,Elia Caprile,22.0,18.0,1.22,68.2,27.8,1.5,39.8,97.9,47.1,57.2,1.28,1,0,1,44
Westerlo,Sinan Bolat,35.0,11.0,1.82,71.0,9.1,-0.5,35.1,98.7,46.8,44.3,1.09,2,0,0,43
Real Madrid,Thibaut Courtois,32.0,30.0,0.97,75.0,36.7,0.7,29.0,99.2,48.8,35.8,0.47,1,0,0,43
Nottingham Forest,Matz Sels,32.0,38.0,1.21,73.9,34.2,3.1,35.0,98.2,36.9,77.4,0.32,1,0,0,43
Rennes,Brice Samba,30.0,17.0,1.59,70.1,29.4,2.2,32.6,97.1,48.3,38.2,0.88,3,0,0,42
Lyon,Lucas Perri,26.0,33.0,1.33,74.4,30.3,3.8,32.6,98.0,43.5,40.8,0.88,1,2,1,42
Udinese,Maduka Okoye,24.0,25.0,1.6,67.3,16.0,0.0,41.1,99.4,48.1,60.6,0.92,1,0,0,42
Manchester City,Stefan Ortega,31.0,12.2,1.5,68.0,25.0,-0.7,38.5,96.9,51.3,32.7,0.98,1,0,0,42
Las Palmas,Dinko Horkaš,25.0,12.1,1.73,66.7,9.1,1.4,39.4,98.2,46.9,51.1,1.33,1,0,0,42
Juventus,Michele Di Gregorio,27.0,33.0,0.97,73.8,42.4,-3.9,38.4,98.7,48.8,54.1,0.91,0,0,0,42
Cercle Brugge,Maxime Delanghe,23.0,20.9,1.29,71.3,33.3,2.0,25.4,96.8,29.6,91.5,1.63,0,0,1,41
Getafe,David Soria,31.0,38.0,1.03,75.4,23.7,3.0,37.5,98.6,40.5,91.1,1.03,3,0,3,41
Monaco,Philipp Köhn,26.0,19.0,1.0,71.4,42.1,-1.8,31.8,96.9,48.1,42.4,1.05,2,0,0,41
Mainz 05,Robin Zentner,29.0,32.0,1.28,73.9,28.1,4.0,30.9,99.1,38.9,64.8,1.81,4,0,2,41
Rayo Vallecano,Augusto Batalla,28.0,32.0,1.22,75.2,25.0,2.0,33.1,98.5,41.1,63.0,1.19,4,0,1,41
Union Berlin,Frederik Rønnow,31.0,28.0,1.32,67.6,28.6,3.3,36.2,98.7,43.9,78.3,1.25,2,0,1,40
Venezia,Ionuț Radu,27.0,15.0,1.2,76.9,26.7,1.2,24.4,95.8,31.2,69.9,0.2,0,0,1,40
Bochum,Patrick Drewes,31.0,21.0,2.19,56.6,9.5,-3.7,45.0,97.9,48.3,80.8,1.57,1,0,0,39
Le Havre,Mathieu Gorgelin,33.0,16.0,2.06,63.4,6.3,2.2,43.2,98.6,53.7,40.4,0.5,2,0,1,39
Leganes,Marko Dmitrović,32.0,32.0,1.53,72.0,31.3,3.2,26.3,98.8,30.0,92.4,1.66,3,0,1,39
Genk,Hendrik Van Crombrugge,31.0,19.0,1.26,66.2,42.1,-0.8,43.5,98.5,53.4,45.0,0.47,3,0,0,39
Como,Pepe Reina,41.0,11.5,1.22,68.3,16.7,-1.9,37.4,97.8,48.8,23.5,0.52,2,0,0,39
Freiburg,Noah Atubolu,22.0,25.6,1.48,69.2,40.0,0.0,38.4,98.5,48.3,68.3,1.09,4,0,0,39
Udinese,Razvan Sava,22.0,12.0,1.33,74.5,33.3,0.5,29.7,98.7,35.3,65.5,1.08,2,0,1,39
Dortmund,Gregor Kobel,26.0,32.0,1.47,66.7,21.9,1.4,33.3,99.4,48.6,58.7,1.47,3,1,0,37
Paris Saint Germain,Gianluigi Donnarumma,25.0,23.2,1.09,67.6,17.4,-3.3,34.7,98.8,57.1,30.3,0.82,0,0,0,37
Wolfsburg,Kamil Grabara,25.0,28.7,1.75,65.7,17.9,1.7,36.4,99.2,46.4,66.9,0.66,2,0,0,37
Nantes,Anthony Lopes,33.0,17.4,1.53,69.0,17.6,0.6,34.6,99.4,43.3,78.1,0.46,1,0,1,37
Newcastle United,Nick Pope,32.0,28.0,1.25,71.7,28.6,1.8,28.0,98.4,43.0,55.6,2.29,5,1,0,37
Arsenal,David Raya,28.0,38.0,0.89,74.2,34.2,1.1,31.2,98.0,37.7,68.0,1.74,9,0,1,36
Brest,Marco Bizot,33.0,32.0,1.69,64.1,31.3,-6.8,41.8,99.2,47.4,66.2,1.66,0,0,2,36
Chelsea,Robert Sánchez,26.0,32.0,1.06,76.4,31.3,1.7,23.1,96.6,36.3,46.3,1.78,10,0,0,36
Monza,Stefano Turati,22.0,29.7,1.79,65.5,6.9,-2.6,40.0,98.6,45.0,61.8,0.87,2,0,0,36
Hoffenheim,Oliver Baumann,34.0,28.0,1.89,63.0,14.3,1.1,37.2,99.5,43.1,69.1,1.11,2,0,0,35
Valencia,Giorgi Mamardashvili,23.0,34.0,1.41,68.4,23.5,1.1,31.4,98.7,38.0,63.9,1.12,3,0,0,35
Cagliari,Simone Scuffet,28.0,13.0,1.77,67.9,7.7,-2.6,39.2,99.2,49.3,53.5,0.54,2,0,0,35
Monaco,Radosław Majecki,24.0,15.0,1.47,69.2,20.0,-0.9,24.1,100.0,37.2,31.0,1.2,1,0,0,34
Bologna,Łukasz Skorupski,33.0,26.3,1.27,61.0,30.8,-2.3,37.4,98.3,50.6,51.6,0.88,2,0,0,34
Brentford,Mark Flekken,31.0,36.4,1.53,73.4,19.4,-0.3,37.8,97.6,49.2,72.6,0.93,4,0,3,34
Crystal Palace,Dean Henderson,27.0,38.0,1.34,66.7,28.9,3.2,26.2,99.2,31.2,56.0,1.05,0,0,2,34
Parma,Zion Suzuki,21.0,36.8,1.47,68.0,19.4,0.4,30.5,98.5,40.3,63.7,1.03,4,0,1,33
Le Havre,Arthur Desmas,30.0,18.0,2.11,61.3,16.7,0.7,37.1,98.7,48.3,30.8,0.39,1,0,2,33
Saint Etienne,Gautier Larsonneur,27.0,34.0,2.26,69.4,14.7,-1.5,27.0,97.9,35.3,52.2,1.0,1,0,0,33
Villarreal,Diego Conde,25.0,21.8,1.57,68.1,9.5,-5.7,37.9,97.9,49.1,37.4,0.73,2,0,1,33
Eintracht Frankfurt,Kevin Trapp,34.0,25.5,1.33,70.9,23.1,1.9,28.5,97.9,38.0,41.5,1.1,3,0,1,33
Lecce,Wladimiro Falcone,29.0,38.0,1.53,72.4,23.7,-1.2,33.5,98.2,38.2,71.9,0.5,3,0,1,33
Las Palmas,Jasper Cillessen,35.0,26.0,1.68,70.3,12.0,4.3,30.3,98.0,38.7,47.5,0.77,2,0,4,33
Aston Villa,Emiliano Martínez,31.0,35.5,1.27,69.0,21.6,0.8,38.6,98.3,49.4,59.3,0.99,6,0,1,32
Ipswich Town,Alex Palmer,27.0,13.0,2.31,59.2,0.0,-2.9,38.2,100.0,44.0,69.1,1.0,0,0,2,31
West Ham United,Alphonse Areola,31.0,25.1,1.67,64.3,20.0,-2.6,35.2,95.4,41.9,57.7,1.19,3,0,0,31
Real Sociedad,Álex Remiro,29.0,36.0,1.19,70.8,36.1,-5.0,37.7,98.1,48.8,62.4,1.11,4,0,2,31
