Team,Player,Age,Matches,Cmp%,Progressive Paces,Progressive Carries,Tackles+Interception,Blocks,Aerial Won,Fouls Commited,Dangerous Fouls,Errors,Rating
Montpellier,Becir Omeragic,22.0,20.0,92.1,2.6,1.0,2.2,1.6,1.0,0.6,1,0,56
Real Betis,Ricardo Rodríguez,31.0,14.2,82.0,4.4,1.3,2.5,0.7,1.9,0.8,0,0,56
Le Havre,Gautier Lloris,29.0,30.8,87.2,3.2,0.4,3.3,1.1,2.1,1.0,11,0,56
Montpellier,Issiaga Sylla,30.0,12.9,77.3,4.1,2.6,2.7,1.0,1.7,1.0,2,1,56
Girona,Daley Blind,34.0,30.9,88.8,8.8,2.3,2.6,1.0,0.6,0.6,2,2,56
Venezia,Alessio Zerbin,25.0,16.9,65.4,3.2,3.1,3.9,1.7,0.6,2.1,4,1,56
Genk,Matte Smets,20.0,27.6,92.8,4.0,0.4,3.4,1.5,1.4,0.5,9,2,56
Bayern Munich,Kim Min-jae,27.0,25.4,92.5,7.1,0.6,2.8,0.9,3.2,1.0,2,4,56
Gent,Stefan Mitrović,34.0,13.9,90.0,4.0,0.6,2.4,1.4,2.4,0.8,7,1,56
Manchester United,Matthijs de Ligt,24.0,23.7,89.9,2.3,0.3,2.7,1.2,2.4,0.7,9,0,56
Villarreal,Juan Foyth,26.0,16.9,87.0,3.8,0.8,2.6,1.5,2.4,0.9,4,3,56
Montpellier,Enzo Tchato,21.0,21.2,75.0,2.9,2.1,3.3,1.4,0.9,1.0,3,0,56
Saint Etienne,Yunis Abdelhamid,36.0,11.5,86.7,1.9,0.3,2.7,2.3,1.7,1.4,2,1,56
West Ham United,Emerson Palmieri,29.0,23.7,79.9,2.8,2.0,3.4,1.4,0.8,1.1,5,0,56
Las Palmas,Marvin,24.0,11.6,73.7,2.6,2.5,3.4,1.5,0.9,1.7,7,0,55
Marseille,Geoffrey Kondogbia,31.0,22.5,92.5,4.7,0.9,3.6,1.0,1.2,0.8,1,4,55
Atalanta,Odilon Kossounou,23.0,12.5,88.2,3.7,1.0,2.3,1.3,1.8,1.2,1,1,55
Lazio,Luca Pellegrini,25.0,11.9,75.5,6.1,1.8,3.5,0.8,0.7,1.5,5,0,55
Leganes,Valentin Rosier,27.0,28.8,79.3,2.6,1.4,4.3,1.4,0.9,1.5,8,2,55
Rennes,Lorenz Assignon,24.0,26.3,78.0,4.4,3.7,2.8,0.8,1.4,2.0,12,0,55
Sevilla,Kike Salas,22.0,24.9,78.5,2.4,0.3,3.2,1.0,3.1,0.8,6,0,55
Rennes,Leo Skiri Østigård,24.0,13.7,84.8,3.6,0.2,2.6,0.9,3.4,1.3,4,1,55
Leicester City,Jannik Vestergaard,31.0,15.5,90.7,2.1,0.2,2.5,1.4,1.7,0.8,5,1,55
Dender,Gilles Ruyssen,30.0,27.6,80.3,3.1,0.3,3.5,1.2,1.8,1.0,8,1,55
Sint Truiden,Rein Van Helden,22.0,26.0,83.2,3.4,1.0,3.6,1.7,2.2,1.4,27,0,55
Kortrijk,Haruya Fujii,23.0,17.2,80.9,4.6,0.6,2.4,1.3,2.5,0.5,0,0,55
Real Sociedad,Nayef Aguerd,28.0,19.6,87.3,3.8,1.3,2.2,1.1,3.1,0.6,8,0,55
Crystal Palace,Chris Richards,24.0,21.4,79.8,1.8,0.3,3.1,1.9,2.2,0.5,12,0,55
Wolverhampton Wanderers,Emmanuel Agbadou,27.0,15.7,85.4,2.0,0.4,2.7,1.2,1.7,0.4,3,0,55
West Ham United,Vladimír Coufal,31.0,11.9,78.6,3.3,2.2,2.5,1.1,1.9,1.8,5,1,55
Mainz 05,Stefan Bell,32.0,16.0,78.6,2.4,0.5,3.1,1.0,5.2,1.5,4,1,55
Barcelona,Jules Koundé,25.0,29.0,86.7,5.7,1.5,2.9,1.2,1.0,0.8,4,2,55
Dortmund,Emre Can,30.0,23.4,89.5,5.0,0.9,3.0,1.3,1.9,1.1,9,3,55
Kortrijk,João Silva,25.0,20.8,81.0,2.9,0.1,3.0,2.0,2.2,0.6,13,2,55
Lecce,Patrick Dorgu,19.0,20.5,77.5,2.6,3.3,3.1,1.2,1.5,1.2,7,2,55
Cagliari,Yerry Mina,29.0,28.6,85.9,2.7,0.6,3.6,2.1,3.3,1.4,14,3,55
Hoffenheim,Arthur Chaves,23.0,24.3,82.1,2.3,0.4,3.6,1.9,2.8,1.6,8,3,55
Wolfsburg,Konstantinos Koulierakis,20.0,27.5,83.0,3.8,0.7,2.7,1.2,2.1,0.9,4,2,55
Charleroi,Jérémy Pétris,26.0,25.5,67.3,3.6,3.4,3.5,0.5,1.4,1.3,9,0,55
Standard Liege,Marlon Fossey,25.0,28.1,75.5,3.4,1.9,2.6,0.7,2.2,0.3,2,0,55
Standard Liege,Ibe Hautekiet,22.0,24.0,84.3,1.9,0.2,3.8,0.9,2.7,1.0,6,1,55
Saint Etienne,Léo Pétrot,27.0,29.3,80.4,3.2,1.0,3.5,1.7,1.4,0.8,13,1,55
Bournemouth,Dean Huijsen,19.0,27.0,83.4,4.9,1.5,3.2,1.5,2.5,1.1,10,4,55
Bochum,Bernardo,29.0,19.8,73.7,5.1,0.7,3.6,1.9,4.5,1.2,5,4,55
Heidenheim,Tim Siersleben,24.0,13.2,80.8,2.3,0.6,3.1,1.4,1.5,1.2,7,0,55
Union SG,Koki Machida,26.0,21.0,80.9,5.9,0.9,2.8,1.0,2.7,1.0,11,0,55
Como,Álex Valle,20.0,11.5,85.0,3.8,1.7,3.0,1.1,0.5,1.2,2,0,55
Real Betis,Youssouf Sabaly,31.0,17.7,86.7,3.5,1.4,3.0,1.2,0.5,1.0,1,0,55
Auxerre,Clément Akpa,22.0,27.7,82.5,2.7,1.0,3.5,1.4,1.4,0.5,10,2,55
Hellas Verona,Nicolás Valentini,23.0,12.6,67.5,3.3,0.3,4.0,1.2,4.0,1.7,16,0,55
Anderlecht,Killian Sardella,22.0,21.9,77.1,4.7,2.7,2.5,1.1,1.0,0.5,6,0,55
Newcastle United,Lewis Hall,19.0,24.4,81.7,5.0,1.7,3.1,1.4,1.2,0.4,3,3,55
Monaco,Caio Henrique Oliveira Silva,27.0,21.5,74.1,4.7,2.7,2.7,1.2,0.6,0.7,3,0,54
Paris Saint Germain,Lucas Beraldo,20.0,22.4,94.4,5.8,0.4,2.6,0.7,2.0,1.0,9,3,54
Lyon,Ainsley Maitland-Niles,26.0,22.1,85.0,4.6,1.5,4.3,1.3,0.7,0.7,1,6,54
Juventus,Timothy Weah,24.0,18.3,83.7,3.1,2.5,2.7,1.4,1.0,1.1,4,2,54
Leicester City,James Justin,26.0,32.5,78.2,2.8,1.2,3.2,1.5,2.1,0.9,6,3,54
Mechelen,José Marsà,22.0,25.3,80.9,4.3,1.5,2.5,1.7,1.2,1.3,4,2,54
Atletico Madrid,Marcos Llorente,29.0,28.0,85.5,4.0,2.9,3.4,1.1,0.5,0.8,5,1,54
Hellas Verona,Daniele Ghilardi,21.0,22.6,78.4,2.5,0.7,3.3,1.3,1.8,1.5,12,0,54
Hellas Verona,Flavius Daniliuc,23.0,11.2,83.5,3.4,0.7,2.9,0.9,1.6,1.1,0,0,54
Torino,Adam Masina,30.0,21.4,84.1,3.4,0.7,2.8,1.3,3.1,1.1,5,2,54
Westerlo,Emin Bayram,21.0,16.7,83.5,5.9,0.8,3.6,1.5,2.3,0.8,33,1,54
Milan,Fikayo Tomori,26.0,17.7,92.4,3.6,0.5,3.4,1.0,1.6,0.6,12,2,54
Toulouse,Waren Kamanzi,23.0,11.4,83.0,2.9,2.5,3.3,0.6,0.6,1.4,3,0,54
Crystal Palace,Trevoh Chalobah,25.0,11.8,79.0,2.9,0.9,3.3,1.6,1.9,0.8,1,3,54
