Team,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Nice,Ali Abdi,tn TUN,DF,30.0,15.6,45,2.91,33,3,4,4,0,1,3,0.19,1,1,0,1,0,0
Nice,Tanguy Ndombele,fr FRA,MF,27.0,12.7,31,2.46,23,1,2,2,2,1,4,0.32,4,0,0,0,0,0
Nice,Jeremie Boga,ci CIV,MF,27.0,11.8,51,4.36,32,5,4,6,4,0,3,0.26,2,0,0,1,0,0
Nice,Badredine Bouanani,dz ALG,MF,19.0,12.3,47,3.85,34,3,3,3,2,2,9,0.74,5,1,1,1,1,0
Nice,Baptiste Santamaria,fr FRA,MF,29.0,10.4,21,2.04,15,1,1,3,1,0,1,0.1,1,0,0,0,0,0
Nice,Mohamed Abdelmoneim,eg EGY,DF,25.0,9.5,8,0.84,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nice,Sofiane Diop,fr FRA,MF,24.0,11.9,47,3.98,37,4,0,2,4,0,9,0.76,7,1,0,0,1,0
Nice,Antoine Mendy,sn SEN,DF,20.0,9.2,13,1.42,10,0,1,1,1,0,2,0.22,2,0,0,0,0,0
Nice,Tom Louchet,fr FRA,DF,21.0,8.7,31,3.6,21,2,1,5,0,2,1,0.12,0,1,0,0,0,0
Nice,Morgan Sanson,fr FRA,MF,29.0,2.6,6,2.29,4,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Nice,Youssoufa Moukoko,de GER,FW,19.0,2.3,6,2.62,5,0,0,1,0,0,1,0.44,1,0,0,0,0,0
Nice,Yael Nandjou,fr FRA,DF,19.0,1.7,4,2.34,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nice,Bilal Brahimi,dz ALG,MF,24.0,0.9,1,1.18,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Nice,Terem Moffi,ng NGA,FW,25.0,0.6,5,7.63,1,0,1,3,0,0,2,3.05,0,0,1,1,0,0
Nice,Amidou Doumbouya,fr FRA,DF,16.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nice,Victor Orakpo,ng NGA,FW,18.0,0.4,1,2.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nice,Jordan Lotomba,ch SUI,MF,25.0,0.4,2,5.14,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nice,Issiaga Camara,gn GUI,MF,19.0,0.2,2,9.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Nice,Rareş Ilie,ro ROU,MF,21.0,0.1,7,48.46,2,2,3,0,0,0,0,0.0,0,0,0,0,0,0
Nice,Bernard Nguene,cm CMR,FW,17.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lille,Lucas Chevalier,fr FRA,GK,22.0,34.0,6,0.18,5,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Lille,Bafodé Diakité,fr FRA,DF,23.0,30.7,19,0.62,17,0,0,1,1,0,3,0.1,2,0,0,0,1,0
Lille,Alexsandro Ribeiro,br BRA,DF,24.0,30.0,40,1.33,32,2,0,4,0,2,4,0.13,4,0,0,0,0,0
