Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1
Augsburg,Finn Dahmen,de GER,GK,26.0,19,19,1710.0,19.0,19,1.0,82,65,79.3,7,6,6,9,47.4,2,2,0,0,0.0
Augsburg,Nediljko Labrović,hr CRO,GK,24.0,15,15,1350.0,15.0,32,2.13,74,42,60.8,4,4,7,2,13.3,3,3,0,0,0.0
Union Berlin,Frederik Rønnow,dk DEN,GK,31.0,28,28,2520.0,28.0,37,1.32,111,71,67.6,8,11,9,8,28.6,5,1,4,0,80.0
Union Berlin,Alexander Schwolow,de GER,GK,32.0,6,6,540.0,6.0,13,2.17,28,15,57.1,2,0,4,0,0.0,1,1,0,0,0.0
St Pauli,Nikola Vasilj,ba BIH,GK,28.0,33,33,2969.0,33.0,39,1.18,135,93,71.9,8,7,18,9,27.3,5,1,4,0,80.0
St Pauli,Ben Alexander Voll,de GER,GK,23.0,2,1,91.0,1.0,2,1.98,5,3,60.0,0,1,0,0,0.0,0,0,0,0,
Hoffenheim,Oliver Baumann,de GER,GK,34.0,28,28,2520.0,28.0,53,1.89,138,84,63.0,6,8,14,4,14.3,5,2,3,0,60.0
Hoffenheim,Luca Philipp,de GER,GK,23.0,6,6,540.0,6.0,15,2.5,35,21,60.0,1,3,2,0,0.0,1,1,0,0,0.0
Heidenheim,Kevin Müller,de GER,GK,33.0,32,32,2880.0,32.7,64,2.0,169,105,65.7,7,5,21,7,21.9,6,6,0,0,0.0
Heidenheim,Frank Feller,de GER,GK,20.0,1,1,90.0,1.3,0,0.0,2,2,100.0,1,0,0,2,200.0,0,0,0,0,
Holstein Kiel,Timon Weiner,de GER,GK,25.0,25,25,2250.0,25.0,61,2.44,140,81,59.3,4,5,16,2,8.0,4,4,0,0,0.0
Holstein Kiel,Thomas Dähne,de GER,GK,30.0,9,9,810.0,9.0,19,2.11,55,36,69.1,2,2,5,0,0.0,3,2,1,0,33.3
Bochum,Patrick Drewes,de GER,GK,31.0,21,21,1890.0,21.0,46,2.19,99,51,56.6,2,5,14,2,9.5,5,3,2,0,40.0
Bochum,Timo Horn,de GER,GK,31.0,13,13,1170.0,13.0,22,1.69,54,32,59.3,3,3,7,3,23.1,1,0,0,1,
Liverpool,Alisson,br BRA,GK,31.0,27,27,2430.0,27.9,29,1.07,100,73,72.0,18,7,3,9,33.3,1,1,0,0,0.0
Liverpool,Caoimhín Kelleher,ie IRL,GK,25.0,10,10,900.0,10.0,12,1.2,37,24,67.6,7,2,1,4,40.0,1,0,1,0,100.0
Liverpool,Vitezslav Jaros,cz CZE,GK,23.0,0,0,,0.1,0,,1,1,100.0,0,0,0,1,,0,0,0,0,
Arsenal,David Raya,es ESP,GK,28.0,38,38,3420.0,38.0,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0.0
Manchester City,Ederson,br BRA,GK,30.0,25,25,2250.0,25.8,26,1.04,78,53,69.2,16,4,6,10,40.0,2,2,0,0,0.0
