Team,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Nice,Jonathan Clauss,fr FRA,DF,31.0,25.7,3,26,8,30.8,1.01,0.31,0.12,0.38,17.2,5,0,0,2.2,2.2,0.09,0.8,0.8
Nice,Moïse Bombito,ca CAN,DF,24.0,24.4,0,8,1,12.5,0.33,0.04,0.0,0.0,18.2,0,0,0,0.7,0.7,0.09,-0.7,-0.7
Nice,Melvin Bard,fr FRA,DF,23.0,21.6,2,23,8,34.8,1.07,0.37,0.09,0.25,17.9,0,0,0,2.2,2.2,0.1,-0.2,-0.2
Nice,Youssouf Ndayishimiye,bi BDI,DF,25.0,21.5,3,11,4,36.4,0.51,0.19,0.27,0.75,15.0,0,0,0,0.9,0.9,0.08,2.1,2.1
Nice,Dante,br BRA,DF,40.0,21.9,0,9,2,22.2,0.41,0.09,0.0,0.0,11.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Nice,Pablo Rosario,nl NED,MF,27.0,19.8,3,16,7,43.8,0.81,0.35,0.13,0.29,16.1,0,1,1,3.8,3.0,0.19,-0.8,-1.0
Nice,Mohamed Ali Cho,fr FRA,FW,20.0,18.2,3,36,15,41.7,1.97,0.82,0.08,0.2,17.7,0,0,0,4.0,4.0,0.11,-1.0,-1.0
Nice,Gaëtan Laborde,fr FRA,FW,30.0,20.5,11,70,20,28.6,3.41,0.98,0.1,0.35,14.6,0,4,4,11.7,8.6,0.12,-0.7,-1.6
Nice,Ali Abdi,tn TUN,DF,30.0,15.6,5,29,11,37.9,1.86,0.71,0.17,0.45,16.9,1,0,0,4.3,4.3,0.17,0.7,0.7
Nice,Tanguy Ndombele,fr FRA,MF,27.0,12.7,1,11,2,18.2,0.87,0.16,0.09,0.5,13.8,0,0,0,2.4,2.4,0.21,-1.4,-1.4
Nice,Jeremie Boga,ci CIV,MF,27.0,11.8,1,30,16,53.3,2.54,1.35,0.03,0.06,17.0,2,0,0,2.3,2.3,0.08,-1.3,-1.3
Nice,Badredine Bouanani,dz ALG,MF,19.0,12.3,3,30,14,46.7,2.44,1.14,0.07,0.14,20.3,1,1,1,2.7,1.9,0.06,0.3,0.1
Nice,Baptiste Santamaria,fr FRA,MF,29.0,10.4,0,16,3,18.8,1.54,0.29,0.0,0.0,20.8,0,0,0,0.9,0.9,0.06,-0.9,-0.9
Nice,Mohamed Abdelmoneim,eg EGY,DF,25.0,9.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
